the time          ;                                  die Zeit
How long?         ;                                 Wie lange?
What time is it?       ;                               Wie viel Uhr ist es?
How late is it?       ;                                Wie spät ist es?
the morning          ;                               der Morgen
tomorrow morning / tomorrow early       ;              morgen früh
noon           ;                                   Mittag
the afternoon          ;                              der Nachmittag
the evening          ;                               der Abend
the night          ;                                 die Nacht
midnight           ;                                Mitternacht
a second          ;                                 eine Sekunde
a minute          ;                                 eine Minute
an hour          ;                                  eine Stunde
8 o’clock          ;                                 acht Uhr
It’s one o’clock        ;                              Es ist ein Uhr
It’s eight o’clock        ;                            Es ist acht Uhr
a quarter past eight        ;                           Viertel nach acht
8:15         ;                                      acht Uhr fünfzehn
half past eight / half nine      ;                        halb neun
a quarter to nine        ;                             Viertel vor neun
8:50         ;                                      acht Uhr fünfzig
ten minutes to nine        ;                           zehn vor neun
8 o’clock in the morning       ;                       acht Uhr morgens / acht Uhr früh
4 o’clock in the afternoon       ;                       vier Uhr nachmittags
8 o’clock at night        ;                            acht Uhr abends
1600 hours          ;                               sechzehn Uhr
