the town / the city        ;                            die Stadt
the cities           ;                                die Städte
the country           ;                              das Land
the countries           ;                             die Länder
the state           ;                                 der taat
the states           ;                                die Staaten
the United States          ;                           die Vereinigten Staaten
the name           ;                                der Name
the food           ;                                 das Essen
the gift           ;                                  das Geschenk
a male friend          ;                              ein Freund
a female friend          ;                            eine Freundin
the postage stamp          ;                          die Briefmarke
the entrance           ;                             der Eingang
the exit           ;                                 der Ausgang
the garment           ;                              das Kleidungsstück
the clothes           ;                               die Kleider
the dirty laundry          ;                           die schmutzige Wäsche
the thing           ;                                das Ding
the other / the other one       ;                        der [die, das] andere
nothing            ;                                nichts
a man           ;                                   ein Mann
a woman           ;                                eine Frau
a wife           ;                                  eine Ehefrau
the husband           ;                              der Ehemann
the child           ;                                das Kind
the weather           ;                              das Wetter
the word           ;                                das Wort
the consulate           ;                             das Konsulat
the beach           ;                                der Strand
the problem           ;                              das Problem
the piece           ;                                das Stück
the cashier’s desk          ;                          die Kasse
the delay           ;                                die Verspätung
the opposite           ;                              das Gegenteil
the house           ;                                das Haus
