big / tall                     ;                       groß
small / short                     ;                   klein
good / well                     ;                    gut
not good                      ;                     nicht gut
bad / badly                     ;                     schlecht
much                       ;                       viel
very                       ;                        sehr
enough                       ;                      genug
hot                       ;                         heiß
warm                       ;                       warm
cold                       ;                        kalt
ahead of schedule / early                   ;           früh
behind schedule / delayed / late                  ;       verspätet
easy                       ;                        leicht
difficult                       ;                     schwierig
beautiful                       ;                    schön
sometimes                       ;                   manchmal
few                       ;                         wenige
a few                      ;                        ein paar
many                       ;                       viele
more                       ;                       mehr
less                       ;                        weniger
almost                       ;                      fast / beinahe
approximately                       ;                ungefähr / etwa
important                       ;                    wichtig
same                       ;                       gleich
similar                       ;                      ähnlich
opposite                       ;                     entgegengesetzt
different                       ;                     verschieden
up                       ;                         auf
up there                      ;                      hinauf
below / under                     ;                  unter
down / down there [L there under]              ;        hinunter
above                       ;                       über
upstairs                       ;                     oben
downstairs                       ;                   unten
fast                       ;                         schnell
slow / slowly                     ;                   langsam
slower                       ;                      langsamer
slowest                       ;                     der [die, das] langsamste
near                       ;                        nahe
nearer                       ;                      näher
nearest                       ;                      der [die, das] nächste
only                       ;                        nur
alone                       ;                       allein
already                       ;                      schon
now                       ;                        jetzt
ready                       ;                       bereit / fertig
spanish                       ;                     spanisch
english                       ;                     englisch
american                       ;                   amerikanisch
british                       ;                      britisch
high                       ;                        hoch
short / brief                     ;                    kurz
low                       ;                         niedrig
