for me             ;                                für mich
for you (singular, familiar)        ;                     für dich
for you (polite)          ;                            für Sie
for him             ;                               für ihn
for her             ;                                für sie
for it (neuter)          ;                              für es
for us             ;                                 für uns
for you (polite)          ;                            für Sie
for you (plural, familiar)        ;                       für euch
for them             ;                               für sie
with me             ;                               mit mir
with you (singular, familiar)        ;                    mit dir
with you (polite)          ;                           mit Ihnen
with him             ;                              mit ihm
with her             ;                               mit ihr
with it             ;                                mit ihm
with us             ;                               mit uns
with you (polite)          ;                           mit Ihnen
with you (plural, familiar)        ;                     mit euch
with them             ;                             mit ihnen
to him             ;                                zu ihm
from you (polite)          ;                           von Ihnen
from you (singular, familiar)        ;                   von dir
without me             ;                            ohne mich
before us             ;                              vor uns
after you (polite)          ;                           nach Ihnen
after you (plural, familiar)        ;                     nach euch
in front of them           ;                          vor ihnen
near you / beside you (plural, familiar)     ;              bei euch
behind you (polite)          ;                         hinter Ihnen
through it             ;                             durch es
