and        ;                                       und
or        ;                                         oder
also        ;                                       auch
but        ;                                        aber
maybe / perhaps      ;                               vielleicht
because        ;                                    weil / da
if / in case     ;                                     falls
if / when      ;                                     wenn
then        ;                                       dann
later        ;                                       später
afterwards        ;                                  danach
therefore        ;                                   deshalb / darum
however        ;                                    jedoch
nevertheless        ;                                 dennoch
than / when      ;                                   als
