I speak German              ;                       Ich spreche Deutsch
I do not speak Spanish            ;                   Ich spreche nicht Spanisch
Do you speak Spanish? (polite)          ;               Sprechen Sie Spanisch?
a little                ;                             ein bisschen / ein wenig
from here to there              ;                      von hier nach dort
at the railway station              ;                    am Bahnhof
on the platform               ;                       auf dem Bahnsteig
in the train               ;                           im Zug
I’m studying… / I’m learning…             ;           Ich lerne…
I study… / I’m majoring in…            ;              Ich studiere…
I am going / I’m leaving          ;                    Ich gehe
Stop!                ;                              Halt!
Stop here               ;                           Halten Sie hier
It’s OK             ;                               Das ist in Ordnung / Das ist OK
I can / I am able to         ;                         Ich kann
Can I… ?               ;                            Kann ich… ?
May I… ?               ;                           Darf ich… ?
May I have… ?              ;                        Kann ich…haben? / Darf ich…haben?
to be called               ;                          heißen
my name is… / I am called…           ;               Ich heiße…
From which country? [L Out [of] which country?]    ;     Aus welchem Land?
From which country do you come? (polite)        ;        Aus welchem Land kommen Sie?
I come…                ;                           Ich komme…
I come from the United States           ;              Ich komme aus den Vereinigten Staaten
There is… / There are… / It gives…          ;           Es gibt…
There was… / There were… / It was giving…         ;    Es gab…
I love…                ;                            Ich liebe…
I like…                ;                            Ich mag…
Do you like… ? (polite)           ;                    Mögen Sie… ?
Excuse me (to pass or to get attention)       ;            Entschuldigung, bitte
Excuse me (to apologize) (polite)        ;               Entschuldigen Sie
I have…                ;                            Ich habe…
Of course!               ;                           Natürlich! / Selbstverständlich!
certainly                 ;                          sicher / klar
Do you have an English menu? (polite)        ;           Haben Sie eine englische Speisekarte?
Let’s go! [L Go we!]         ;                        Gehen wir!
How does one say… ? [L How says one… ?]      ;        Wie sagt man… ?
Watch out! / Attention!            ;                    Achtung!
Be careful!               ;                          Vorsicht!
Please speak slowly (polite)           ;                 Bitte, sprechen Sie langsam
Please repeat that (polite)           ;                   Bitte, wiederholen Sie das
