He is big       ;                                   Er ist groß
Is he big?       ;                                    Ist er groß?
Is it big?       ;                                    Ist es groß?
You have a car (polite)   ;                             Sie haben einen Wagen
Do you have a car? (polite)  ;                           Haben Sie einen Wagen?
The train is at the station    ;                          Der Zug ist am Bahnhof
Is the train at the station?    ;                          Ist der Zug am Bahnhof?
You understand (polite)     ;                          Sie verstehen
Do you understand? (polite)    ;                        Verstehen Sie?
It’s too big       ;                                  Es ist zu groß
Is it too big?      ;                                  Ist es zu groß?
There is… / There are…      ;                         Es gibt…
Is there… ? / Are there… ?    ;                        Gibt es… ?
It’s far from here      ;                              Es ist weit von hier
Is it far from here?     ;                              Ist es weit von hier?
You want… (polite)      ;                            Sie wollen…
Do you want… ? (polite)    ;                           Wollen Sie… ?
It is…         ;                                    Es ist…
Is it… ?        ;                                    Ist es… ?
What is it?       ;                                   Was ist es?
There is a room with a shower   ;                      Es gibt ein Zimmer mit Dusche
Is there a room with a shower?   ;                       Gibt es ein Zimmer mit Dusche?
