Excuse me, please, when does the next train to Madrid leave? (polite)  ;                          Entschuldigen Sie, bitte, wann fährt der nächste Zug nach Madrid?
The train leaves in ten minutes            ;             Der Zug fährt in zehn Minuten
It leaves at ten o’clock in the morning          ;         Er fährt um zehn Uhr morgens
How much does a ticket cost?            ;              Wie viel kostet eine Fahrkarte?
First or second class?              ;                   Erster oder zweiter Klasse?
Second class, please              ;                   Zweiter Klasse, bitte
It’s two hundred euros / That makes two hundred euros ;    Das macht zweihundert Euro
He would like a ticket for the train that departs for Paris, tomorrow at ten am [L He would like a ticket for the train to Paris, that tomorrow at 10 o’clock early departs]   ;    Er möchte eine Fahrkarte für den Zug nach Paris, der morgen um zehn Uhr früh abfährt
Excuse me, please, where is the bus to the beach? [L [from] where departs the bus to the beach?] (polite)  ;  Entschuldigen Sie bitte, wo fährt der Bus zum Strand ab?
Over there, on the left         ;                       Dort drüben, links
Which one? There are many         ;                  Welcher? Es gibt viele
It’s the number five           ;                       Es ist die Nummer fünf
Thank you very much           ;                     Vielen Dank
Does this bus go to the beach?        ;                  Fährt dieser Bus zum Strand?
No, the number 5 goes to the beach      ;               Nein, die Nummer fünf fährt zum Strand
At what time does the last bus for the beach depart?    ;     Um wie viel Uhr fährt der letzte Bus zum Strand ab?
The last bus departs at 1720         ;                  Der letzte Bus fährt um siebzehn Uhr zwanzig ab
