Where is the train station?       ;                      Wo ist der Bahnhof?
Where are the toilets, please?      ;                     Wo sind die Toiletten, bitte?
to the train station, please       ;                       zum Bahnhof, bitte
to the airport, please        ;                          zum Flughafen, bitte
I would like…          ;                            Ich möchte…
I would like a taxi       ;                            Ich möchte ein Taxi
I would like a ticket for traveling     ;                  Ich möchte eine Fahrkarte
A ticket to…          ;                              Eine Fahrkarte nach…
the train to Madrid         ;                          der Zug nach Madrid
the train from Madrid         ;                        der Zug von Madrid
the train from Madrid to Paris       ;                   der Zug von Madrid nach Paris
first            ;                                   erster / erste / erstes
first class           ;                                erster Klasse
second class           ;                             zweiter Klasse
a one way ticket         ;                            eine einfache Fahrkarte
a round trip ticket         ;                           eine Rückfahrkarte
no smoking / no smoker        ;                       Nichtraucher
At what time does the train leave?     ;                  Um wie viel Uhr fährt der Zug?
At what time does the train arrive?     ;                 Um wie viel Uhr kommt der Zug an?
Where is the bus to Munich?      ;                     Wo ist der Bus nach München?
Which number?          ;                           Welche Nummer?
Which seat?          ;                               Welcher Platz?
seat number five          ;                           Platz Nummer fünf
the seat reservation ticket         ;                     die Platzkarte
the timetable / the schedule        ;                    der Fahrplan
the first train          ;                              der erste Zug
the second train          ;                            der zweite Zug
the next train          ;                              der nächste Zug
the last train          ;                              der letzte Zug
