the money             ;                             das Geld
the euro             ;                               der Euro / der Eurodollar
the bank             ;                              die Bank
Where is the bank?          ;                         Wo ist die Bank?
the currency             ;                           die Währung
the coins             ;                              die Münzen
the small change            ;                         das Kleingeld
to change / to exchange          ;                     wechseln
money exchange             ;                        Geldwechsel
the currency exchange office           ;                die Wechselstube
I would like to change some money       ;              Ich möchte etwas Geld wechseln
to buy             ;                                kaufen
I would like to buy euros        ;                     Ich möchte Euro kaufen
the exchange rate            ;                        der Wechselkurs
What is the exchange rate? / How is the exchange rate?  ;    Wie ist der Wechselkurs?
a banknote             ;                             eine Banknote
the check             ;                              der Scheck
to travel             ;                               reisen
a traveler’s check            ;                        ein Reisescheck
the credit             ;                              der Kredit
a credit card            ;                            eine Kreditkarte
the ATM / the cash machine         ;                   der Geldautomat
