to the right                  ;                        nach rechts
to the left                  ;                         nach links
Turn to the right [L Go you to [the] right] (polite)  ;       Gehen Sie nach rechts
Turn to the left (polite)             ;                   Gehen Sie nach links
straight ahead                   ;                    geradeaus
the corner                   ;                       die Ecke
around the corner                  ;                  um die Ecke
the street                   ;                        die Straße
the side                   ;                         die Seite
the other side                  ;                      die andere Seite
the other side of the street               ;              die andere Straßenseite
the end of the street                ;                  das Ende der Straße
to the bank                  ;                       zur Bank
here                    ;                           hier
there                    ;                          dort
over there                   ;                       dort drüben
near                    ;                           nahe / nahe bei
close by                   ;                         in der Nähe
near the corner                  ;                    in der Nähe von der Ecke / nahe bei der Ecke
far                    ;                            weit
far away                   ;                         weit weg
far from here                  ;                      weit von hier
the address                   ;                      die Adresse
this address                   ;                      diese Adresse
next to                   ;                          neben
as far as / until                ;                      bis
as far as [to] the bank             ;                    bis zur Bank
as far as [to] the corner             ;                   bis zur Ecke
to the end of the street               ;                 bis zum Ende der Straße
